title,year,sentiment_analysis,recommend
The Elder Scrolls III: Morrowind® Game of the Year Edition,2012.0,2,1
The Elder Scrolls III: Morrowind® Game of the Year Edition,2013.0,4,2
The Elder Scrolls III: Morrowind® Game of the Year Edition,2014.0,12,6
The Elder Scrolls III: Morrowind® Game of the Year Edition,2015.0,6,3
The Elder Scrolls IV: Oblivion® Game of the Year Edition,2011.0,4,2
The Elder Scrolls IV: Oblivion® Game of the Year Edition,2013.0,3,2
The Elder Scrolls IV: Oblivion® Game of the Year Edition,2014.0,14,7
The Elder Scrolls IV: Oblivion® Game of the Year Edition,2015.0,11,6
Call of Cthulhu®: Dark Corners of the Earth,2014.0,2,1
BRINK,2011.0,4,2
BRINK,2014.0,1,1
Fallout 3: Game of the Year Edition,2011.0,4,2
Fallout 3: Game of the Year Edition,2012.0,5,3
Fallout 3: Game of the Year Edition,2013.0,13,7
Fallout 3: Game of the Year Edition,2014.0,33,19
Fallout 3: Game of the Year Edition,2015.0,41,22
Fallout: New Vegas,2010.0,2,1
Fallout: New Vegas,2011.0,8,4
Fallout: New Vegas,2012.0,9,5
Fallout: New Vegas,2013.0,36,19
Fallout: New Vegas,2014.0,117,65
Fallout: New Vegas,2015.0,105,61
Hunted: The Demon’s Forge™,2015.0,2,1
Worms Reloaded,2010.0,3,2
Worms Reloaded,2011.0,2,1
Worms Reloaded,2012.0,2,1
Worms Reloaded,2013.0,2,1
Worms Reloaded,2014.0,4,2
Worms Reloaded,2015.0,4,3
Alien Breed: Impact,2013.0,2,1
The Last Remnant™,2013.0,2,1
Grand Ages: Rome,2014.0,3,2
Tropico 3,2015.0,1,1
Earth Defense Force: Insect Armageddon,2014.0,2,1
Train Simulator,2010.0,2,1
Train Simulator,2012.0,3,2
Train Simulator,2013.0,7,4
Train Simulator,2014.0,9,5
Train Simulator,2015.0,13,8
DC Universe™ Online,2011.0,4,2
DC Universe™ Online,2012.0,9,5
DC Universe™ Online,2013.0,19,11
DC Universe™ Online,2014.0,57,30
DC Universe™ Online,2015.0,17,11
PAYDAY™ The Heist,2011.0,4,2
PAYDAY™ The Heist,2012.0,11,8
PAYDAY™ The Heist,2013.0,37,21
PAYDAY™ The Heist,2014.0,114,68
PAYDAY™ The Heist,2015.0,34,20
Trainz™ Simulator 12,2014.0,4,2
SPORE™ Galactic Adventures,2015.0,4,2
Burnout Paradise: The Ultimate Box,2011.0,2,1
Burnout Paradise: The Ultimate Box,2012.0,2,1
Burnout Paradise: The Ultimate Box,2013.0,12,6
Burnout Paradise: The Ultimate Box,2014.0,30,16
Burnout Paradise: The Ultimate Box,2015.0,6,3
SimCity™ 4 Deluxe Edition,2014.0,3,2
SimCity™ 4 Deluxe Edition,2015.0,5,3
Command &amp; Conquer 3: Tiberium Wars,2012.0,2,1
Command &amp; Conquer 3: Tiberium Wars,2014.0,3,2
Command &amp; Conquer 3: Tiberium Wars,2015.0,2,1
Command &amp; Conquer: Red Alert 3 - Uprising,2013.0,2,1
Command &amp; Conquer: Red Alert 3 - Uprising,2015.0,1,1
Command &amp; Conquer 3: Kane's Wrath,2014.0,4,2
Medal of Honor: Airborne,2014.0,8,4
Medal of Honor: Airborne,2015.0,2,1
Battlefield: Bad Company™ 2,2011.0,6,3
Battlefield: Bad Company™ 2,2013.0,5,3
Battlefield: Bad Company™ 2,2014.0,28,17
Battlefield: Bad Company™ 2,2015.0,13,7
Mass Effect 2,2011.0,6,3
Mass Effect 2,2012.0,4,2
Mass Effect 2,2013.0,10,5
Mass Effect 2,2014.0,6,3
Mass Effect 2,2015.0,4,2
Overgrowth,2013.0,8,4
Overgrowth,2014.0,20,11
Overgrowth,2015.0,7,4
Lugaru HD,2011.0,2,1
Cricket Revolution,2013.0,2,1
Europa Universalis III Complete,2011.0,2,1
Europa Universalis III Complete,2012.0,2,1
Knights of Honor,2015.0,2,1
Hearts of Iron III,2013.0,3,2
Hearts of Iron III,2014.0,9,5
Hearts of Iron III,2015.0,4,2
King's Bounty: The Legend,2010.0,2,1
Supreme Ruler 2020 Gold,2015.0,2,1
Majesty Gold HD,2015.0,2,1
Cogs,2011.0,4,2
Braid,2011.0,4,2
Braid,2012.0,2,1
Braid,2014.0,2,1
Braid,2015.0,4,2
Crayon Physics Deluxe,2011.0,2,1
The Graveyard,2015.0,1,1
Kane &amp; Lynch 2: Dog Days,2015.0,2,1
Osmos,2010.0,2,1
Osmos,2014.0,1,1
Caster,2015.0,15,8
Poker Night at the Inventory,2011.0,2,1
Poker Night at the Inventory,2012.0,10,5
Poker Night at the Inventory,2013.0,12,7
Poker Night at the Inventory,2014.0,26,14
Poker Night at the Inventory,2015.0,11,8
Back to the Future: The Game,2012.0,2,1
Back to the Future: The Game,2013.0,2,1
Back to the Future: The Game,2014.0,5,3
Back to the Future: The Game,2015.0,2,1
Iron Grip: Warlord,2015.0,2,1
Nancy Drew®: Legend of the Crystal Skull,2014.0,1,1
Nancy Drew®: The White Wolf of Icicle Creek,2014.0,2,1
Metal Drift,2013.0,2,1
LEGO® Indiana Jones™: The Original Adventures,2015.0,2,1
LOOM™,2012.0,2,1
The Secret of Monkey Island: Special Edition,2013.0,6,3
STAR WARS™ - Knights of the Old Republic™,2010.0,2,1
STAR WARS™ - Knights of the Old Republic™,2011.0,1,1
STAR WARS™ - Knights of the Old Republic™,2012.0,2,1
STAR WARS™ - Knights of the Old Republic™,2013.0,5,3
STAR WARS™ - Knights of the Old Republic™,2014.0,10,6
STAR WARS™ - Knights of the Old Republic™,2015.0,15,9
STAR WARS™ Jedi Knight: Dark Forces II,2014.0,2,1
STAR WARS™ Jedi Knight: Dark Forces II,2015.0,2,1
STAR WARS™ - Dark Forces,2013.0,2,1
STAR WARS™ - Dark Forces,2014.0,2,1
STAR WARS™ - Dark Forces,2015.0,6,3
STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,2014.0,2,1
STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,2015.0,3,2
LEGO® Star Wars™ - The Complete Saga,2011.0,2,1
LEGO® Star Wars™ - The Complete Saga,2013.0,2,1
LEGO® Star Wars™ - The Complete Saga,2014.0,2,1
LEGO® Star Wars™ - The Complete Saga,2015.0,8,4
STAR WARS™ Empire at War - Gold Pack,2010.0,2,1
STAR WARS™ Empire at War - Gold Pack,2014.0,4,2
STAR WARS™ Empire at War - Gold Pack,2015.0,2,1
STAR WARS™: The Force Unleashed™ II,2011.0,2,1
STAR WARS™: The Force Unleashed™ II,2013.0,2,1
STAR WARS™: The Force Unleashed™ II,2014.0,5,3
Delta Force 2,2015.0,1,1
Joint Operations: Combined Arms Gold,2015.0,2,1
Lord of the Rings: War in the North,2012.0,6,3
Lord of the Rings: War in the North,2013.0,8,4
Lord of the Rings: War in the North,2014.0,7,4
Lord of the Rings: War in the North,2015.0,2,2
Dawn of Discovery™,2014.0,2,1
Assassin's Creed 2 Deluxe Edition,2013.0,6,3
Assassin's Creed 2 Deluxe Edition,2014.0,31,17
Assassin's Creed 2 Deluxe Edition,2015.0,11,7
From Dust,2011.0,2,1
From Dust,2014.0,6,3
Disciples III - Renaissance Steam Special Edition,2015.0,2,1
eversion,2010.0,2,1
eversion,2013.0,2,1
eversion,2014.0,1,1
18 Wheels of Steel: Extreme Trucker,2015.0,2,1
Arma 2,2013.0,4,2
Arma 2,2014.0,6,3
Arma 2: Operation Arrowhead,2011.0,4,2
Arma 2: Operation Arrowhead,2012.0,17,10
Arma 2: Operation Arrowhead,2013.0,34,19
Arma 2: Operation Arrowhead,2014.0,58,30
Arma 2: Operation Arrowhead,2015.0,31,17
Alpha Protocol™,2013.0,2,1
Alpha Protocol™,2014.0,1,1
Alpha Protocol™,2015.0,6,3
Napoleon: Total War™,2011.0,2,1
Napoleon: Total War™,2012.0,2,1
Napoleon: Total War™,2013.0,3,2
Napoleon: Total War™,2014.0,18,10
Napoleon: Total War™,2015.0,5,3
Sniper: Ghost Warrior,2014.0,3,2
Sniper: Ghost Warrior,2015.0,2,1
Sniper: Ghost Warrior 2,2013.0,4,3
Sniper: Ghost Warrior 2,2014.0,6,3
Sniper: Ghost Warrior 2,2015.0,2,1
Bad Rats: the Rats' Revenge,2013.0,8,4
Bad Rats: the Rats' Revenge,2014.0,36,20
Bad Rats: the Rats' Revenge,2015.0,71,43
Bad Rats: the Rats' Revenge Demo,2014.0,2,1
Batman: Arkham Asylum Game of the Year Edition,2012.0,2,1
Batman: Arkham Asylum Game of the Year Edition,2013.0,11,7
Batman: Arkham Asylum Game of the Year Edition,2014.0,15,8
Batman: Arkham Asylum Game of the Year Edition,2015.0,26,15
Defence Alliance 2,2013.0,2,1
Defence Alliance 2,2015.0,2,1
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,2011.0,6,3
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,2012.0,10,5
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,2013.0,38,21
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,2014.0,64,38
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,2015.0,28,16
Dwarfs!?,2011.0,2,1
Dwarfs!?,2013.0,6,3
Dwarfs!?,2015.0,1,1
Trine Enchanted Edition,2011.0,2,1
Trine Enchanted Edition,2012.0,4,2
Trine Enchanted Edition,2013.0,2,1
Trine Enchanted Edition,2014.0,2,1
Trine Enchanted Edition,2015.0,4,2
Trine 2: Complete Story,2013.0,15,8
Trine 2: Complete Story,2014.0,28,14
Trine 2: Complete Story,2015.0,8,5
Foreign Legion: Buckets of Blood,2011.0,2,1
Westward Collection,2012.0,2,1
"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",2014.0,1,1
Windosill,2014.0,2,1
Roogoo,2014.0,2,1
Fallout: A Post Nuclear Role Playing Game,2012.0,2,1
Fallout: A Post Nuclear Role Playing Game,2014.0,4,2
Fallout: A Post Nuclear Role Playing Game,2015.0,2,1
Fallout 2: A Post Nuclear Role Playing Game,2014.0,3,2
Fallout 2: A Post Nuclear Role Playing Game,2015.0,9,5
Fallout Tactics: Brotherhood of Steel,2015.0,2,1
Sacrifice,2014.0,2,1
MDK 2,2013.0,2,1
Faerie Solitaire,2011.0,2,1
Faerie Solitaire,2013.0,4,2
Faerie Solitaire,2014.0,4,2
Faerie Solitaire,2015.0,2,1
Toki Tori,2014.0,3,2
Toki Tori,2015.0,2,1
RUSH,2013.0,4,2
RUSH,2015.0,2,1
EDGE,2013.0,4,2
EDGE,2014.0,2,1
RIFT,2011.0,6,3
RIFT,2013.0,21,11
RIFT,2014.0,19,10
RIFT,2015.0,5,3
FINAL FANTASY VII,2013.0,12,6
FINAL FANTASY VII,2014.0,14,7
FINAL FANTASY VII,2015.0,12,6
FINAL FANTASY VIII,2013.0,6,3
FINAL FANTASY VIII,2014.0,7,4
FINAL FANTASY VIII,2015.0,6,3
Dungeon Siege III,2012.0,2,1
Dungeon Siege III,2013.0,2,1
Dungeon Siege,2015.0,2,1
Dungeon Siege II,2014.0,2,1
FINAL FANTASY XIV Online,2012.0,2,1
FINAL FANTASY XIV Online,2014.0,9,5
FINAL FANTASY XIV Online,2015.0,10,5
Chaser,2014.0,2,1
Chaser,2015.0,2,1
ArcaniA,2010.0,1,1
Nation Red,2012.0,2,1
Nation Red,2013.0,3,2
Nation Red,2014.0,4,2
Nation Red,2015.0,1,1
Supreme Commander 2,2011.0,2,1
Supreme Commander 2,2012.0,2,1
Supreme Commander 2,2013.0,2,1
Supreme Commander 2,2014.0,11,6
Supreme Commander 2,2015.0,12,6
Secret Files: Tunguska,2015.0,1,1
Risen 2: Dark Waters,2012.0,2,1
Risen 2: Dark Waters,2014.0,2,1
AI War: Fleet Command,2014.0,4,2
AI War: Fleet Command,2015.0,2,1
Machinarium,2010.0,1,1
Machinarium,2013.0,3,2
Machinarium,2014.0,4,2
Machinarium,2015.0,4,2
Super Meat Boy,2010.0,1,1
Super Meat Boy,2011.0,8,4
Super Meat Boy,2012.0,6,3
Super Meat Boy,2013.0,16,9
Super Meat Boy,2014.0,32,19
Super Meat Boy,2015.0,25,16
The Misadventures of P.B. Winterbottom,2012.0,4,2
Stronghold HD,2014.0,2,1
Stronghold Crusader HD,2014.0,6,3
Stronghold Crusader HD,2015.0,2,1
Serious Sam HD: The First Encounter,2013.0,2,1
Serious Sam HD: The First Encounter,2014.0,4,2
Serious Sam HD: The First Encounter,2015.0,2,1
Serious Sam Classic: The First Encounter,2014.0,2,1
Serious Sam Classic: The Second Encounter,2013.0,1,1
Hammerfight,2014.0,3,2
Hammerfight,2015.0,2,1
Altitude,2011.0,6,3
Altitude,2014.0,3,2
Altitude,2015.0,4,2
Torchlight,2012.0,4,2
Torchlight,2013.0,6,3
Torchlight,2014.0,1,1
Earthworm Jim 3D,2011.0,1,1
S.T.A.L.K.E.R.: Call of Pripyat,2012.0,1,1
S.T.A.L.K.E.R.: Call of Pripyat,2013.0,2,1
S.T.A.L.K.E.R.: Call of Pripyat,2014.0,5,3
S.T.A.L.K.E.R.: Call of Pripyat,2015.0,8,4
Cargo! The Quest for Gravity,2013.0,2,1
Cargo! The Quest for Gravity,2014.0,2,1
Gratuitous Space Battles,2011.0,1,1
Gratuitous Space Battles,2012.0,2,1
Gratuitous Space Battles,2013.0,2,1
Gratuitous Space Battles,2015.0,2,1
Hamilton's Great Adventure,2013.0,2,1
Krater,2013.0,1,1
Call of Duty®: Black Ops,2011.0,6,3
Call of Duty®: Black Ops,2012.0,3,2
Call of Duty®: Black Ops,2013.0,6,3
Call of Duty®: Black Ops,2014.0,24,13
Call of Duty®: Black Ops,2015.0,14,8
Call of Duty®: Black Ops - Rezurrection Content Pack,2014.0,2,1
Call of Duty®: Black Ops - Rezurrection Content Pack,2015.0,2,1
Sword of the Stars: Complete Collection,2014.0,2,1
Magicka,2011.0,8,4
Magicka,2012.0,1,1
Magicka,2013.0,28,17
Magicka,2014.0,58,36
Magicka,2015.0,21,12
Victoria II,2011.0,2,1
Victoria II,2014.0,8,4
Victoria II,2015.0,2,2
Front Mission Evolved,2012.0,2,1
GRID 2,2013.0,9,5
GRID 2,2014.0,19,10
GRID 2,2015.0,6,4
Sol Survivor,2010.0,2,1
Sol Survivor,2014.0,1,1
Secret of the Magic Crystals,2013.0,5,3
Secret of the Magic Crystals,2014.0,6,4
Wings of Prey,2011.0,2,1
Wings of Prey,2014.0,2,1
Fortix,2013.0,2,1
Devil May Cry 4,2014.0,5,3
Devil May Cry 4,2015.0,3,2
Dead Rising® 2,2013.0,2,1
Dead Rising® 2,2014.0,2,1
Dead Rising® 2,2015.0,2,1
Lost Planet® 2,2014.0,2,1
Ultra Street Fighter® IV,2013.0,4,2
Ultra Street Fighter® IV,2014.0,16,10
Ultra Street Fighter® IV,2015.0,10,6
Dead Rising 2: Off the Record,2014.0,2,1
Super Street Fighter IV: Arcade Edition - Arcade Challengers Pack,2015.0,2,1
Star Wolves 3: Civil War,2015.0,2,1
Star Wolves 2,2014.0,2,1
Future Wars,2014.0,2,1
Making History II: The War of the World,2015.0,2,1
Stronghold 3 Gold,2015.0,4,2
Stronghold Kingdoms,2013.0,6,3
Stronghold Kingdoms,2014.0,9,5
Stronghold Kingdoms,2015.0,8,4
Command &amp; Conquer 4: Tiberian Twilight,2011.0,2,1
Dead Space™ 2,2013.0,2,1
Dead Space™ 2,2014.0,2,1
Medal of Honor™,2013.0,6,4
Medal of Honor™,2014.0,4,3
Medal of Honor™,2015.0,3,2
RISK™: Factions,2014.0,2,1
Dragon Age: Origins - Ultimate Edition,2013.0,4,2
Dragon Age: Origins - Ultimate Edition,2014.0,18,9
Dragon Age: Origins - Ultimate Edition,2015.0,3,2
Need For Speed: Hot Pursuit,2012.0,2,1
Need For Speed: Hot Pursuit,2013.0,2,1
Need For Speed: Hot Pursuit,2014.0,10,5
Need For Speed: Hot Pursuit,2015.0,3,2
The Sims™ 3,2013.0,5,3
The Sims™ 3,2014.0,12,8
The Sims™ 3,2015.0,10,5
Shift 2 Unleashed,2013.0,2,1
Shift 2 Unleashed,2014.0,2,1
LIMBO,2012.0,1,1
LIMBO,2013.0,18,10
LIMBO,2014.0,21,12
LIMBO,2015.0,9,5
Silent Hunter 5®: Battle of the Atlantic,2014.0,1,1
Assassin’s Creed® Brotherhood,2011.0,2,1
Assassin’s Creed® Brotherhood,2014.0,14,7
Might &amp; Magic: Heroes VI,2012.0,2,1
Mount &amp; Blade: Warband,2010.0,2,1
Mount &amp; Blade: Warband,2011.0,4,2
Mount &amp; Blade: Warband,2012.0,18,10
Mount &amp; Blade: Warband,2013.0,56,30
Mount &amp; Blade: Warband,2014.0,136,78
Mount &amp; Blade: Warband,2015.0,93,51
Mount &amp; Blade: Warband - Napoleonic Wars,2013.0,2,1
Mount &amp; Blade: Warband - Napoleonic Wars,2014.0,4,2
Mount &amp; Blade: Warband - Napoleonic Wars,2015.0,5,3
Mount &amp; Blade: With Fire &amp; Sword,2011.0,1,1
Mount &amp; Blade: With Fire &amp; Sword,2012.0,1,1
Mount &amp; Blade: With Fire &amp; Sword,2013.0,6,3
Mount &amp; Blade: With Fire &amp; Sword,2014.0,5,3
Mount &amp; Blade: With Fire &amp; Sword,2015.0,4,2
Ship Simulator Extremes,2014.0,1,1
Magic: The Gathering - Duels of the Planeswalkers 2012,2014.0,4,2
Borderlands 2,2011.0,1,1
Borderlands 2,2012.0,35,19
Borderlands 2,2013.0,159,85
Borderlands 2,2014.0,507,285
Borderlands 2,2015.0,161,92
Beat Hazard,2011.0,6,3
Beat Hazard,2012.0,2,1
Beat Hazard,2013.0,6,3
Beat Hazard,2014.0,12,7
Beat Hazard,2015.0,6,4
Mafia II,2011.0,3,2
Mafia II,2012.0,2,1
Mafia II,2013.0,13,8
Mafia II,2014.0,25,15
Mafia II,2015.0,20,12
Spec Ops: The Line,2012.0,4,2
Spec Ops: The Line,2013.0,26,13
Spec Ops: The Line,2014.0,33,18
Spec Ops: The Line,2015.0,45,26
Burn Zombie Burn!,2011.0,2,1
Darksiders™,2012.0,2,1
Darksiders™,2013.0,4,2
Darksiders™,2014.0,2,1
Darksiders™,2015.0,4,2
Tactical Intervention,2013.0,30,18
Tactical Intervention,2014.0,66,38
Tactical Intervention,2015.0,37,21
Atom Zombie Smasher,2011.0,4,2
Atom Zombie Smasher,2012.0,2,1
Homefront,2014.0,5,3
Homefront,2015.0,6,3
Red Faction®: Armageddon™,2012.0,2,1
Red Faction®: Armageddon™,2014.0,4,2
MX vs. ATV Reflex,2012.0,2,1
MX vs. ATV Reflex,2013.0,6,3
MX vs. ATV Reflex,2014.0,6,3
MX vs. ATV Reflex,2015.0,2,1
"Warhammer 40,000: Space Marine",2011.0,4,2
"Warhammer 40,000: Space Marine",2012.0,2,1
"Warhammer 40,000: Space Marine",2013.0,2,1
"Warhammer 40,000: Space Marine",2014.0,3,2
"Warhammer 40,000: Space Marine",2015.0,7,4
Saints Row: The Third,2011.0,2,1
Saints Row: The Third,2012.0,9,6
Saints Row: The Third,2013.0,76,42
Saints Row: The Third,2014.0,87,54
Saints Row: The Third,2015.0,51,31
Saints Row: The Third Initiation Station,2011.0,2,1
Saints Row: The Third Initiation Station,2012.0,2,1
Saints Row: The Third Initiation Station,2014.0,2,1
Saints Row: The Third - Gangstas in Space,2015.0,1,1
NyxQuest: Kindred Spirits,2011.0,2,1
Amnesia: The Dark Descent,2010.0,1,1
Amnesia: The Dark Descent,2012.0,4,2
Amnesia: The Dark Descent,2013.0,8,5
Amnesia: The Dark Descent,2014.0,20,12
Amnesia: The Dark Descent,2015.0,9,6
Tropico 3: Absolute Power,2012.0,2,1
Tropico 3: Absolute Power,2014.0,2,1
Broken Sword: Director's Cut,2014.0,2,1
Broken Sword: Director's Cut,2015.0,2,1
Tropico 4,2012.0,6,3
Tropico 4,2013.0,4,2
Tropico 4,2014.0,25,13
Tropico 4,2015.0,11,6
Duke Nukem Forever,2011.0,4,2
Duke Nukem Forever,2013.0,2,1
Duke Nukem Forever,2014.0,10,5
Jolly Rover,2011.0,2,1
MacGuffin's Curse,2015.0,2,1
Wargame: European Escalation,2013.0,4,2
Wargame: European Escalation,2014.0,1,1
Wargame: European Escalation,2015.0,2,1
Numen: Contest of Heroes,2014.0,2,1
Fractal: Make Blooms Not War,2013.0,2,1
Age of Wonders,2011.0,2,1
Zen Bound 2,2011.0,2,1
Zen Bound 2,2013.0,2,1
Zen Bound 2,2014.0,2,1
Flight Control HD,2011.0,2,1
Chime,2010.0,2,1
Chime,2014.0,1,1
Monday Night Combat,2011.0,3,2
Monday Night Combat,2013.0,1,1
Sniper Elite V2,2013.0,4,2
Sniper Elite V2,2014.0,64,38
Sniper Elite V2,2015.0,22,12
Swords and Soldiers HD,2011.0,2,1
Swords and Soldiers HD,2015.0,2,1
Riven: The Sequel to MYST,2014.0,2,1
BIT.TRIP BEAT,2013.0,2,1
BIT.TRIP RUNNER,2011.0,4,2
BIT.TRIP RUNNER,2013.0,4,2
BIT.TRIP RUNNER,2014.0,9,6
BIT.TRIP RUNNER,2015.0,6,3
Fantasy Wars,2011.0,2,1
Men of War: Assault Squad,2012.0,2,1
Men of War: Assault Squad,2013.0,1,1
Men of War: Assault Squad,2014.0,9,5
Men of War: Assault Squad,2015.0,4,2
Dustforce DX,2013.0,2,1
Dustforce DX,2014.0,4,2
Dustforce DX,2015.0,4,2
Take On Helicopters,2014.0,1,1
Carrier Command: Gaea Mission,2014.0,2,1
ARMA: Gold Edition,2015.0,2,1
ARMA: Cold War Assault,2014.0,11,6
ARMA: Cold War Assault,2015.0,2,1
Dungeon Defenders,2011.0,2,1
Dungeon Defenders,2012.0,13,7
Dungeon Defenders,2013.0,16,9
Dungeon Defenders,2014.0,23,13
Dungeon Defenders,2015.0,15,8
The Bureau: XCOM Declassified,2014.0,12,6
The Bureau: XCOM Declassified,2015.0,6,3
Sid Meier's Civilization®: Beyond Earth™,2013.0,3,2
Sid Meier's Civilization®: Beyond Earth™,2014.0,22,12
Sid Meier's Civilization®: Beyond Earth™,2015.0,25,13
The Darkness II,2013.0,6,3
The Darkness II,2014.0,12,6
The Darkness II,2015.0,14,8
Dino D-Day,2012.0,2,1
Dino D-Day,2013.0,27,17
Dino D-Day,2014.0,27,16
Dino D-Day,2015.0,16,11
Hacker Evolution,2014.0,2,1
Hacker Evolution,2015.0,2,1
VVVVVV,2011.0,2,1
VVVVVV,2012.0,2,1
VVVVVV,2013.0,2,1
VVVVVV,2014.0,12,7
VVVVVV,2015.0,1,1
Recettear: An Item Shop's Tale,2010.0,2,1
Recettear: An Item Shop's Tale,2013.0,1,1
Recettear: An Item Shop's Tale,2014.0,10,5
Recettear: An Item Shop's Tale,2015.0,10,5
Worms Ultimate Mayhem,2014.0,2,1
Worms Crazy Golf,2014.0,2,1
Evochron Mercenary,2015.0,2,1
Streets of Rage 2,2012.0,2,1
Crazy Taxi,2014.0,5,3
Crazy Taxi,2015.0,2,1
Sonic Adventure DX,2014.0,2,1
Sonic Generations Collection,2012.0,2,1
Sonic Generations Collection,2014.0,2,1
Sonic Generations Collection,2015.0,9,5
Closure,2012.0,2,1
Closure,2013.0,2,1
Closure,2014.0,2,1
Universe Sandbox,2013.0,2,1
Universe Sandbox,2014.0,9,5
Universe Sandbox,2015.0,2,1
Fallout New Vegas: Dead Money,2014.0,2,1
Fallout New Vegas: Old World Blues,2014.0,2,1
Fallout New Vegas®: Gun Runners’ Arsenal™,2015.0,2,1
Winter Voices,2015.0,2,1
Cities in Motion,2012.0,2,1
Majesty 2 Collection,2013.0,2,1
Majesty 2 Collection,2014.0,2,1
Darkest Hour: A Hearts of Iron Game,2013.0,2,1
Sengoku,2011.0,2,1
Supreme Ruler: Cold War,2014.0,2,1
Bejeweled® 3,2014.0,2,1
APOX,2011.0,2,1
Gemini Rue,2015.0,2,1
Iron Front: Digital War Edition,2013.0,2,1
Sanctum,2014.0,15,9
E.Y.E: Divine Cybermancy,2011.0,2,1
E.Y.E: Divine Cybermancy,2012.0,5,3
E.Y.E: Divine Cybermancy,2013.0,1,1
E.Y.E: Divine Cybermancy,2014.0,6,4
E.Y.E: Divine Cybermancy,2015.0,5,3
Cloning Clyde,2015.0,2,1
Post Apocalyptic Mayhem,2013.0,1,1
Post Apocalyptic Mayhem,2014.0,3,2
Post Apocalyptic Mayhem,2015.0,3,2
Hydrophobia: Prophecy,2015.0,2,1
DETOUR,2015.0,4,2
A.R.E.S.: Extinction Agenda,2011.0,2,1
A.R.E.S.: Extinction Agenda,2014.0,1,1
SpaceChem,2011.0,4,2
SpaceChem,2012.0,2,1
SpaceChem,2013.0,1,1
SpaceChem,2014.0,8,4
Revenge of the Titans,2011.0,2,1
Revenge of the Titans,2015.0,2,1
Dinner Date,2012.0,2,1
Dinner Date,2013.0,2,1
Dinner Date,2014.0,2,1
Jamestown,2011.0,2,1
Jamestown,2013.0,2,1
Jamestown,2015.0,2,1
The Dream Machine: Chapter 1 &amp; 2,2015.0,2,1
Nidhogg,2014.0,16,9
Nidhogg,2015.0,19,10
Puzzle Agent 2,2014.0,2,1
Capsized,2013.0,2,1
ibb &amp; obb,2014.0,1,1
ibb &amp; obb,2015.0,10,5
The Cat and the Coup,2015.0,2,1
The Tiny Bang Story,2014.0,4,2
Defy Gravity Extended,2014.0,10,6
Defy Gravity Extended,2015.0,5,3
Nexuiz,2013.0,2,1
Solar 2,2012.0,2,1
Solar 2,2013.0,4,2
Solar 2,2014.0,6,3
Section 8®: Prejudice™,2011.0,2,1
Section 8®: Prejudice™,2012.0,2,1
Magic: The Gathering - Duels of the Planeswalkers 2013,2013.0,1,1
Magic: The Gathering - Duels of the Planeswalkers 2013,2014.0,2,1
Frozen Synapse,2011.0,4,2
Frozen Synapse,2014.0,10,5
Frozen Synapse,2015.0,2,1
Toy Soldiers,2012.0,2,1
Hard Reset Extended Edition,2013.0,4,2
Hard Reset Extended Edition,2014.0,4,2
Hard Reset Extended Edition,2015.0,1,1
Hard Reset: Exile DLC,2015.0,2,1
Naval Warfare,2013.0,2,1
Demolition Inc.,2012.0,2,1
Demolition Inc.,2014.0,2,2
Dungeons of Dredmor,2011.0,2,1
Dungeons of Dredmor,2014.0,6,3
Renegade Ops,2012.0,2,1
Renegade Ops,2014.0,3,2
NightSky,2011.0,4,2
NightSky,2014.0,2,1
Spiral Knights,2011.0,10,6
Spiral Knights,2012.0,9,6
Spiral Knights,2013.0,58,36
Spiral Knights,2014.0,109,61
Spiral Knights,2015.0,32,18
Puzzle Pirates,2011.0,2,1
Puzzle Pirates,2012.0,2,1
Puzzle Pirates,2015.0,2,1
Kingdoms of Amalur: Reckoning™,2013.0,2,1
Kingdoms of Amalur: Reckoning™,2014.0,17,9
Kingdoms of Amalur: Reckoning™,2015.0,9,5
Orcs Must Die!,2011.0,3,2
Orcs Must Die!,2012.0,2,1
Orcs Must Die!,2013.0,2,1
Orcs Must Die!,2014.0,2,1
A.V.A. Alliance of Valiant Arms™,2013.0,2,1
A.V.A. Alliance of Valiant Arms™,2015.0,4,2
Shank 2,2013.0,3,2
Shank 2,2015.0,2,1
Warp,2012.0,2,1
iBomber Defense,2013.0,2,1
BEEP,2014.0,2,1
Portal 2 - The Final Hours,2013.0,2,1
Portal 2 - The Final Hours,2015.0,1,1
Super MNC,2012.0,11,6
Super MNC,2013.0,20,11
Super MNC,2014.0,15,10
Super MNC,2015.0,8,5
ORION: Prelude,2013.0,4,2
ORION: Prelude,2014.0,114,69
ORION: Prelude,2015.0,56,32
Critical Mass,2013.0,2,1
Ms. Splosion Man,2014.0,2,1
Age of Empires® III: Complete Collection,2011.0,2,1
Age of Empires® III: Complete Collection,2013.0,8,4
Age of Empires® III: Complete Collection,2014.0,28,15
Age of Empires® III: Complete Collection,2015.0,18,10
Terraria,2011.0,37,20
Terraria,2012.0,68,38
